Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.15235998 -1.70924541], Best Fitness = 19.720278971491027, Evaluations = 16
Generation 1: Best Solution = [-2.03241956 -1.00964306], Best Fitness = 5.3752062396836795, Evaluations = 32
Generation 2: Best Solution = [-2.03241956 -1.00964306], Best Fitness = 5.3752062396836795, Evaluations = 48
Generation 3: Best Solution = [-2.03241956 -1.00964306], Best Fitness = 5.3752062396836795, Evaluations = 64
Generation 4: Best Solution = [-2.03241956 -1.00964306], Best Fitness = 5.3752062396836795, Evaluations = 80
Generation 5: Best Solution = [-1.10265665 -1.03927368], Best Fitness = 4.607928590140302, Evaluations = 96
Generation 6: Best Solution = [-1.10265665 -1.03927368], Best Fitness = 4.607928590140302, Evaluations = 112
Generation 7: Best Solution = [-1.10265665 -1.03927368], Best Fitness = 4.607928590140302, Evaluations = 128
Generation 8: Best Solution = [-1.10265665 -1.03927368], Best Fitness = 4.607928590140302, Evaluations = 144
Generation 9: Best Solution = [-1.10265665 -1.03927368], Best Fitness = 4.607928590140302, Evaluations = 160
Generation 10: Best Solution = [-1.10265665 -1.03927368], Best Fitness = 4.607928590140302, Evaluations = 176
Generation 11: Best Solution = [-1.03709248  0.91172474], Best Fitness = 3.6763089141753724, Evaluations = 192
Generation 12: Best Solution = [-1.03709248  0.91172474], Best Fitness = 3.6763089141753724, Evaluations = 208
Generation 13: Best Solution = [-1.03709248  0.91172474], Best Fitness = 2.4616351318279115, Evaluations = 224
Generation 14: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 240
Generation 15: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 256
Generation 16: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 272
Generation 17: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 288
Generation 18: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 304
Generation 19: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 320
Generation 20: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 336
Generation 21: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 352
Generation 22: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 368
Generation 23: Best Solution = [ 0.97082836 -0.0310632 ], Best Fitness = 1.3008447181936234, Evaluations = 384
Generation 24: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 400
Generation 25: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 416
Generation 26: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 432
Generation 27: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 448
Generation 28: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 464
Generation 29: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 480
Generation 30: Best Solution = [0.0228892  0.04951477], Best Fitness = 0.5862719694214817, Evaluations = 496
Generation 31: Best Solution = [-0.01535388  0.02051282], Best Fitness = 0.13009688715316514, Evaluations = 512
Generation 32: Best Solution = [-0.01535388  0.02051282], Best Fitness = 0.13009688715316514, Evaluations = 528
Generation 33: Best Solution = [-0.01535388  0.02051282], Best Fitness = 0.13009688715316514, Evaluations = 544
Generation 34: Best Solution = [-0.01666818  0.00725929], Best Fitness = 0.06552173348091017, Evaluations = 560
Generation 35: Best Solution = [-0.01666818  0.00725929], Best Fitness = 0.06552173348091017, Evaluations = 576
Generation 36: Best Solution = [0.01114352 0.00453415], Best Fitness = 0.02870428465772079, Evaluations = 592
Generation 37: Best Solution = [0.01114352 0.00453415], Best Fitness = 0.02870428465772079, Evaluations = 608
