Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-0.23342875 -2.11486664], Best Fitness = 15.981178825001056, Evaluations = 32
Generation 1: Best Solution = [ 0.75113807 -0.91547453], Best Fitness = 12.708236506687602, Evaluations = 64
Generation 2: Best Solution = [-0.23342875 -0.99483435], Best Fitness = 10.010129291140638, Evaluations = 96
Generation 3: Best Solution = [-0.23342875 -0.99483435], Best Fitness = 10.010129291140638, Evaluations = 128
Generation 4: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 160
Generation 5: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 192
Generation 6: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 224
Generation 7: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 256
Generation 8: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 288
Generation 9: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 320
Generation 10: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 352
Generation 11: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 384
Generation 12: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 416
Generation 13: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 448
Generation 14: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 480
Generation 15: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 512
Generation 16: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 544
Generation 17: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 576
Generation 18: Best Solution = [0.04408191 0.00810061], Best Fitness = 0.3960881225719355, Evaluations = 608
Generation 19: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 640
Generation 20: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 672
Generation 21: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 704
Generation 22: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 736
Generation 23: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 768
Generation 24: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 800
Generation 25: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 832
Generation 26: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 864
Generation 27: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 896
Generation 28: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.2291874807161065, Evaluations = 928
Generation 29: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.11544170557088407, Evaluations = 960
Generation 30: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.11544170557088407, Evaluations = 992
Generation 31: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.11544170557088407, Evaluations = 1024
Generation 32: Best Solution = [ 0.00888175 -0.03286599], Best Fitness = 0.11544170557088407, Evaluations = 1056
Generation 33: Best Solution = [-0.016859   -0.00624916], Best Fitness = 0.06408235140860441, Evaluations = 1088
Generation 34: Best Solution = [-0.016859   -0.00624916], Best Fitness = 0.041084375464578216, Evaluations = 1120
Generation 35: Best Solution = [-0.016859   -0.00624916], Best Fitness = 0.041084375464578216, Evaluations = 1152
Generation 36: Best Solution = [-0.016859   -0.00624916], Best Fitness = 0.041084375464578216, Evaluations = 1184
Generation 37: Best Solution = [-0.016859   -0.00624916], Best Fitness = 0.0376894101138916, Evaluations = 1216
Generation 38: Best Solution = [-0.01154723  0.00287977], Best Fitness = 0.02808700484491311, Evaluations = 1248
Generation 39: Best Solution = [0.00090381 0.00241727], Best Fitness = 0.00132127733408538, Evaluations = 1280
Generation 40: Best Solution = [0.00090381 0.00241727], Best Fitness = 0.00132127733408538, Evaluations = 1312
Generation 41: Best Solution = [0.00090381 0.00241727], Best Fitness = 0.00132127733408538, Evaluations = 1344
Generation 42: Best Solution = [0.00090381 0.00241727], Best Fitness = 0.00132127733408538, Evaluations = 1376
Generation 43: Best Solution = [0.00090381 0.00241727], Best Fitness = 0.00132127733408538, Evaluations = 1408
Generation 44: Best Solution = [-0.00253953 -0.00018868], Best Fitness = 0.0012865089933029594, Evaluations = 1440
Generation 45: Best Solution = [-0.00253953 -0.00018868], Best Fitness = 0.0012865089933029594, Evaluations = 1472
Generation 46: Best Solution = [0.00076377 0.00214548], Best Fitness = 0.0010289324976788805, Evaluations = 1504
Generation 47: Best Solution = [-0.00093146  0.00089002], Best Fitness = 0.00032928373727258986, Evaluations = 1536
Generation 48: Best Solution = [-0.00072062 -0.00064087], Best Fitness = 0.0001845050049382735, Evaluations = 1568
Generation 49: Best Solution = [1.96776765e-05 6.54802137e-04], Best Fitness = 8.514045023844119e-05, Evaluations = 1600
Generation 50: Best Solution = [ 0.00040141 -0.00020414], Best Fitness = 4.02340219025632e-05, Evaluations = 1632
Generation 51: Best Solution = [-0.00011139  0.00028938], Best Fitness = 1.9074459792989273e-05, Evaluations = 1664
Generation 52: Best Solution = [-0.00020501 -0.00022134], Best Fitness = 1.8058120360819885e-05, Evaluations = 1696
Generation 53: Best Solution = [ 9.20780709e-05 -1.34487277e-06], Best Fitness = 1.6824005371063322e-06, Evaluations = 1728
Generation 54: Best Solution = [ 9.20780709e-05 -1.34487277e-06], Best Fitness = 1.6824005371063322e-06, Evaluations = 1760
Generation 55: Best Solution = [ 9.20780709e-05 -1.34487277e-06], Best Fitness = 1.6824005371063322e-06, Evaluations = 1792
Generation 56: Best Solution = [-7.46664596e-05 -2.60602101e-05], Best Fitness = 1.240786701828256e-06, Evaluations = 1824
Generation 57: Best Solution = [-7.46664596e-05 -2.60602101e-05], Best Fitness = 1.240786701828256e-06, Evaluations = 1856
Generation 58: Best Solution = [-7.46664596e-05 -2.60602101e-05], Best Fitness = 1.240786701828256e-06, Evaluations = 1888
Generation 59: Best Solution = [ 5.63906662e-05 -1.34487277e-06], Best Fitness = 6.312272589070744e-07, Evaluations = 1920
Generation 60: Best Solution = [ 5.63906662e-05 -1.34487277e-06], Best Fitness = 6.312272589070744e-07, Evaluations = 1952
Generation 61: Best Solution = [ 5.63906662e-05 -1.34487277e-06], Best Fitness = 6.312272589070744e-07, Evaluations = 1984
Generation 62: Best Solution = [ 5.63906662e-05 -1.34487277e-06], Best Fitness = 6.312272589070744e-07, Evaluations = 2016
