Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 32
Generation 1: Best Solution = [-1.9159992  -1.00049098], Best Fitness = 6.032873739558525, Evaluations = 64
Generation 2: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 96
Generation 3: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 128
Generation 4: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 160
Generation 5: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 192
Generation 6: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 224
Generation 7: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 256
Generation 8: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 288
Generation 9: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 320
Generation 10: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 352
Generation 11: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 384
Generation 12: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 416
Generation 13: Best Solution = [ 0.05175193 -1.00049098], Best Fitness = 1.5277340085321356, Evaluations = 448
Generation 14: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 480
Generation 15: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 512
Generation 16: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 544
Generation 17: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 576
Generation 18: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 608
Generation 19: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 640
Generation 20: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 672
Generation 21: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 704
Generation 22: Best Solution = [-0.06244852 -0.02244353], Best Fitness = 0.8636349813694011, Evaluations = 736
Generation 23: Best Solution = [-0.06190866 -0.01965037], Best Fitness = 0.8273924737466416, Evaluations = 768
Generation 24: Best Solution = [-0.04758708 -0.02244353], Best Fitness = 0.5457124781745861, Evaluations = 800
Generation 25: Best Solution = [-0.04758708 -0.02244353], Best Fitness = 0.5457124781745861, Evaluations = 832
Generation 26: Best Solution = [-0.04758708 -0.02244353], Best Fitness = 0.5457124781745861, Evaluations = 864
Generation 27: Best Solution = [-0.04758708 -0.02244353], Best Fitness = 0.5457124781745861, Evaluations = 896
Generation 28: Best Solution = [-0.02595937 -0.01738042], Best Fitness = 0.19327040778524918, Evaluations = 928
Generation 29: Best Solution = [-0.02595937 -0.01738042], Best Fitness = 0.19327040778524918, Evaluations = 960
Generation 30: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 992
Generation 31: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 1024
Generation 32: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 1056
Generation 33: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 1088
Generation 34: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 1120
Generation 35: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 1152
Generation 36: Best Solution = [0.00760552 0.00508213], Best Fitness = 0.016597255344592554, Evaluations = 1184
Generation 37: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1216
Generation 38: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1248
Generation 39: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1280
Generation 40: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1312
Generation 41: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1344
Generation 42: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1376
Generation 43: Best Solution = [0.00110122 0.0007605 ], Best Fitness = 0.00035532882844790947, Evaluations = 1408
Generation 44: Best Solution = [0.00058554 0.00028574], Best Fitness = 8.421898241195436e-05, Evaluations = 1440
Generation 45: Best Solution = [0.00058554 0.00028574], Best Fitness = 8.421898241195436e-05, Evaluations = 1472
Generation 46: Best Solution = [0.00024002 0.0005067 ], Best Fitness = 6.236459830688545e-05, Evaluations = 1504
Generation 47: Best Solution = [0.00021738 0.00040429], Best Fitness = 4.18028132287418e-05, Evaluations = 1536
Generation 48: Best Solution = [2.72569936e-05 2.73510253e-05], Best Fitness = 2.9580702687326266e-07, Evaluations = 1568
Generation 49: Best Solution = [2.72569936e-05 2.73510253e-05], Best Fitness = 2.9580702687326266e-07, Evaluations = 1600
Generation 50: Best Solution = [2.72569936e-05 2.73510253e-05], Best Fitness = 2.9580702687326266e-07, Evaluations = 1632
Generation 51: Best Solution = [2.72569936e-05 2.73510253e-05], Best Fitness = 2.9580702687326266e-07, Evaluations = 1664
Generation 52: Best Solution = [2.72569936e-05 2.73510253e-05], Best Fitness = 2.9580702687326266e-07, Evaluations = 1696
Generation 53: Best Solution = [ 1.76345968e-05 -2.20679822e-05], Best Fitness = 1.5831189870141316e-07, Evaluations = 1728
Generation 54: Best Solution = [ 1.76345968e-05 -2.20679822e-05], Best Fitness = 1.5831189870141316e-07, Evaluations = 1760
Generation 55: Best Solution = [ 1.76345968e-05 -2.20679822e-05], Best Fitness = 1.5831189870141316e-07, Evaluations = 1792
Generation 56: Best Solution = [ 1.76345968e-05 -2.20679822e-05], Best Fitness = 1.5831189870141316e-07, Evaluations = 1824
