Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [-1.21504432  1.28383288], Best Fitness = 8.612039175790175, Evaluations = 64
Generation 1: Best Solution = [-1.21504432  1.28383288], Best Fitness = 8.612039175790175, Evaluations = 128
Generation 2: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 192
Generation 3: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 256
Generation 4: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 320
Generation 5: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 384
Generation 6: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 448
Generation 7: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 512
Generation 8: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 576
Generation 9: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 640
Generation 10: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 704
Generation 11: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 768
Generation 12: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 832
Generation 13: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 896
Generation 14: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 960
Generation 15: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1024
Generation 16: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1088
Generation 17: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1152
Generation 18: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1216
Generation 19: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1280
Generation 20: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1344
Generation 21: Best Solution = [1.4184097  1.95817985], Best Fitness = 0.46350244508911365, Evaluations = 1408
Generation 22: Best Solution = [0.72317897 0.46940532], Best Fitness = 0.36373836029777323, Evaluations = 1472
Generation 23: Best Solution = [0.72317897 0.46940532], Best Fitness = 0.36373836029777323, Evaluations = 1536
Generation 24: Best Solution = [0.72317897 0.46940532], Best Fitness = 0.36373836029777323, Evaluations = 1600
Generation 25: Best Solution = [0.72317897 0.46940532], Best Fitness = 0.36373836029777323, Evaluations = 1664
Generation 26: Best Solution = [0.65419038 0.41025248], Best Fitness = 0.15095781332137287, Evaluations = 1728
Generation 27: Best Solution = [1.35936297 1.86227515], Best Fitness = 0.14989923980066486, Evaluations = 1792
Generation 28: Best Solution = [1.35936297 1.86227515], Best Fitness = 0.14989923980066486, Evaluations = 1856
Generation 29: Best Solution = [1.35936297 1.86227515], Best Fitness = 0.14989923980066486, Evaluations = 1920
Generation 30: Best Solution = [1.35936297 1.86227515], Best Fitness = 0.14989923980066486, Evaluations = 1984
Generation 31: Best Solution = [1.35936297 1.86227515], Best Fitness = 0.14989923980066486, Evaluations = 2048
