Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [1.23342466 0.24902544], Best Fitness = 1.5833500521161925, Evaluations = 16
Generation 1: Best Solution = [1.23342466 0.24902544], Best Fitness = 1.5833500521161925, Evaluations = 32
Generation 2: Best Solution = [-0.43126628 -0.06287067], Best Fitness = 0.18994332885548912, Evaluations = 48
Generation 3: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.09644067953975768, Evaluations = 64
Generation 4: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.09644067953975768, Evaluations = 80
Generation 5: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.09644067953975768, Evaluations = 96
Generation 6: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.09644067953975768, Evaluations = 112
Generation 7: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.027420221640727778, Evaluations = 128
Generation 8: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.027420221640727778, Evaluations = 144
Generation 9: Best Solution = [ 0.14008869 -0.27715671], Best Fitness = 0.027420221640727778, Evaluations = 160
Generation 10: Best Solution = [-0.12901409 -0.06591585], Best Fitness = 0.020989535581239067, Evaluations = 176
Generation 11: Best Solution = [-0.10054349  0.08204665], Best Fitness = 0.016840645475514403, Evaluations = 192
Generation 12: Best Solution = [-0.02787264  0.04276703], Best Fitness = 0.002605902607707526, Evaluations = 208
Generation 13: Best Solution = [ 0.02813447 -0.01467821], Best Fitness = 0.0010069982928419372, Evaluations = 224
Generation 14: Best Solution = [ 0.02813447 -0.01467821], Best Fitness = 0.0010069982928419372, Evaluations = 240
Generation 15: Best Solution = [ 0.02813447 -0.01467821], Best Fitness = 0.0010069982928419372, Evaluations = 256
Generation 16: Best Solution = [ 0.02813447 -0.01467821], Best Fitness = 0.0007935643411012709, Evaluations = 272
Generation 17: Best Solution = [ 0.02813447 -0.01467821], Best Fitness = 0.0007935643411012709, Evaluations = 288
Generation 18: Best Solution = [0.02316109 0.00606975], Best Fitness = 0.0005732781672339946, Evaluations = 304
Generation 19: Best Solution = [ 0.01057541 -0.00170251], Best Fitness = 0.00011473787174112321, Evaluations = 320
Generation 20: Best Solution = [ 0.01057541 -0.00170251], Best Fitness = 0.00011473787174112321, Evaluations = 336
Generation 21: Best Solution = [ 0.01057541 -0.00170251], Best Fitness = 0.00011473787174112321, Evaluations = 352
Generation 22: Best Solution = [ 0.01057541 -0.00170251], Best Fitness = 0.00011473787174112321, Evaluations = 368
Generation 23: Best Solution = [-0.00869584  0.00465083], Best Fitness = 9.724788921617374e-05, Evaluations = 384
Generation 24: Best Solution = [ 0.00686775 -0.00372423], Best Fitness = 6.103586766278849e-05, Evaluations = 400
Generation 25: Best Solution = [ 0.00686775 -0.00372423], Best Fitness = 3.606839170160108e-05, Evaluations = 416
Generation 26: Best Solution = [ 0.00686775 -0.00372423], Best Fitness = 2.0773985362981333e-05, Evaluations = 432
Generation 27: Best Solution = [ 0.00686775 -0.00372423], Best Fitness = 2.0773985362981333e-05, Evaluations = 448
