Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [-1.5300159  -0.02447711], Best Fitness = 2.341547773563598, Evaluations = 32
Generation 1: Best Solution = [ 0.5730655  -0.52221934], Best Fitness = 0.601117108454756, Evaluations = 64
Generation 2: Best Solution = [ 0.5730655  -0.52221934], Best Fitness = 0.601117108454756, Evaluations = 96
Generation 3: Best Solution = [-0.21283306 -0.0398554 ], Best Fitness = 0.04688636248946998, Evaluations = 128
Generation 4: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 160
Generation 5: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 192
Generation 6: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 224
Generation 7: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 256
Generation 8: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 288
Generation 9: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 320
Generation 10: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 352
Generation 11: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 384
Generation 12: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 416
Generation 13: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 448
Generation 14: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 480
Generation 15: Best Solution = [0.00631384 0.03433515], Best Fitness = 0.0012187669713595959, Evaluations = 512
Generation 16: Best Solution = [0.02254893 0.00781292], Best Fitness = 0.0005694958313771328, Evaluations = 544
Generation 17: Best Solution = [ 0.01037863 -0.01154275], Best Fitness = 0.00024095097444301687, Evaluations = 576
Generation 18: Best Solution = [0.00448746 0.00479045], Best Fitness = 4.3085720412841495e-05, Evaluations = 608
Generation 19: Best Solution = [0.00448746 0.00479045], Best Fitness = 4.3085720412841495e-05, Evaluations = 640
Generation 20: Best Solution = [0.00448746 0.00479045], Best Fitness = 4.3085720412841495e-05, Evaluations = 672
Generation 21: Best Solution = [0.00448746 0.00479045], Best Fitness = 4.3085720412841495e-05, Evaluations = 704
Generation 22: Best Solution = [0.00448746 0.00479045], Best Fitness = 4.3085720412841495e-05, Evaluations = 736
Generation 23: Best Solution = [-0.00241929  0.00054189], Best Fitness = 6.146588120626915e-06, Evaluations = 768
Generation 24: Best Solution = [-0.00241929  0.00054189], Best Fitness = 6.146588120626915e-06, Evaluations = 800
Generation 25: Best Solution = [-0.00241929  0.00054189], Best Fitness = 6.146588120626915e-06, Evaluations = 832
Generation 26: Best Solution = [-0.00241929  0.00054189], Best Fitness = 1.3465420459962335e-06, Evaluations = 864
Generation 27: Best Solution = [-0.00241929  0.00054189], Best Fitness = 1.3465420459962335e-06, Evaluations = 896
Generation 28: Best Solution = [-0.00241929  0.00054189], Best Fitness = 1.3465420459962335e-06, Evaluations = 928
Generation 29: Best Solution = [ 0.00063309 -0.00035886], Best Fitness = 5.295782398695021e-07, Evaluations = 960
Generation 30: Best Solution = [ 0.00063309 -0.00035886], Best Fitness = 5.295782398695021e-07, Evaluations = 992
Generation 31: Best Solution = [ 0.00063309 -0.00035886], Best Fitness = 5.295782398695021e-07, Evaluations = 1024
Generation 32: Best Solution = [ 0.00063309 -0.00035886], Best Fitness = 1.5240132023736143e-07, Evaluations = 1056
Generation 33: Best Solution = [-0.0001795  -0.00030493], Best Fitness = 1.2520127642084782e-07, Evaluations = 1088
Generation 34: Best Solution = [-0.0001795  -0.00030493], Best Fitness = 1.2520127642084782e-07, Evaluations = 1120
Generation 35: Best Solution = [-0.0001795  -0.00030493], Best Fitness = 1.2520127642084782e-07, Evaluations = 1152
Generation 36: Best Solution = [-0.0001795  -0.00030493], Best Fitness = 1.2520127642084782e-07, Evaluations = 1184
Generation 37: Best Solution = [-0.0001795  -0.00030493], Best Fitness = 1.2520127642084782e-07, Evaluations = 1216
Generation 38: Best Solution = [7.93725643e-05 2.78156998e-04], Best Fitness = 8.367131957651469e-08, Evaluations = 1248
Generation 39: Best Solution = [-1.53691564e-04 -4.92150394e-06], Best Fitness = 2.3645317925535662e-08, Evaluations = 1280
Generation 40: Best Solution = [-1.53691564e-04 -4.92150394e-06], Best Fitness = 2.3645317925535662e-08, Evaluations = 1312
Generation 41: Best Solution = [7.05622036e-06 1.42318792e-04], Best Fitness = 2.0304428724301313e-08, Evaluations = 1344
Generation 42: Best Solution = [-1.82374638e-05  1.56345640e-05], Best Fitness = 5.770446762496475e-10, Evaluations = 1376
