Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 64
Max Evaluations: 2000

Generation 0: Best Solution = [-0.78692755  0.17735348], Best Fitness = 0.6507092263000133, Evaluations = 64
Generation 1: Best Solution = [-0.34640129  0.08743695], Best Fitness = 0.12763907493546864, Evaluations = 128
Generation 2: Best Solution = [-0.34640129  0.08743695], Best Fitness = 0.12763907493546864, Evaluations = 192
Generation 3: Best Solution = [-0.34640129  0.08743695], Best Fitness = 0.12763907493546864, Evaluations = 256
Generation 4: Best Solution = [-0.34640129  0.08743695], Best Fitness = 0.12763907493546864, Evaluations = 320
Generation 5: Best Solution = [-0.02706999 -0.27306457], Best Fitness = 0.07529704214977692, Evaluations = 384
Generation 6: Best Solution = [-0.02706999 -0.27306457], Best Fitness = 0.07529704214977692, Evaluations = 448
Generation 7: Best Solution = [-0.02706999  0.03397173], Best Fitness = 0.001886863116626432, Evaluations = 512
Generation 8: Best Solution = [-0.02706999  0.03397173], Best Fitness = 0.001886863116626432, Evaluations = 576
Generation 9: Best Solution = [-0.02706999  0.03397173], Best Fitness = 0.001886863116626432, Evaluations = 640
Generation 10: Best Solution = [-0.02706999  0.03397173], Best Fitness = 0.001886863116626432, Evaluations = 704
Generation 11: Best Solution = [-0.02706999  0.03397173], Best Fitness = 0.001886863116626432, Evaluations = 768
Generation 12: Best Solution = [-0.02706999  0.03397173], Best Fitness = 0.001886863116626432, Evaluations = 832
Generation 13: Best Solution = [ 0.00933468 -0.01899127], Best Fitness = 0.0004478047044144329, Evaluations = 896
Generation 14: Best Solution = [ 0.00933468 -0.01899127], Best Fitness = 0.0004478047044144329, Evaluations = 960
Generation 15: Best Solution = [ 0.00933468 -0.01899127], Best Fitness = 0.00037732690081536207, Evaluations = 1024
Generation 16: Best Solution = [ 0.00933468 -0.01899127], Best Fitness = 0.00037732690081536207, Evaluations = 1088
Generation 17: Best Solution = [ 0.00933468 -0.01899127], Best Fitness = 0.00037732690081536207, Evaluations = 1152
Generation 18: Best Solution = [ 0.00933468 -0.01899127], Best Fitness = 0.00037732690081536207, Evaluations = 1216
Generation 19: Best Solution = [0.01512757 0.00127201], Best Fitness = 0.00023046151356442097, Evaluations = 1280
Generation 20: Best Solution = [-0.00336638 -0.01103178], Best Fitness = 0.00013303262119555829, Evaluations = 1344
Generation 21: Best Solution = [0.00156926 0.00926482], Best Fitness = 8.829942512185524e-05, Evaluations = 1408
Generation 22: Best Solution = [0.00409382 0.00469285], Best Fitness = 3.878221353689512e-05, Evaluations = 1472
Generation 23: Best Solution = [-0.00158007 -0.00340329], Best Fitness = 1.407898512123014e-05, Evaluations = 1536
Generation 24: Best Solution = [-0.00158007 -0.00340329], Best Fitness = 1.407898512123014e-05, Evaluations = 1600
Generation 25: Best Solution = [-0.00158007 -0.00340329], Best Fitness = 1.407898512123014e-05, Evaluations = 1664
Generation 26: Best Solution = [-0.00181666 -0.00221758], Best Fitness = 8.217915842668963e-06, Evaluations = 1728
Generation 27: Best Solution = [ 0.00092604 -0.00059119], Best Fitness = 1.207042879700428e-06, Evaluations = 1792
Generation 28: Best Solution = [ 0.00092604 -0.00059119], Best Fitness = 1.207042879700428e-06, Evaluations = 1856
Generation 29: Best Solution = [-0.00067074  0.00036904], Best Fitness = 5.860876096361372e-07, Evaluations = 1920
Generation 30: Best Solution = [-0.00067074  0.00036904], Best Fitness = 5.860876096361372e-07, Evaluations = 1984
Generation 31: Best Solution = [-0.00067074  0.00036904], Best Fitness = 5.860876096361372e-07, Evaluations = 2048
