Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 0: Best Solution = [ 1.96081805 -0.57573516], Best Fitness = 4.17627838543348, Evaluations = 8
Generation 1: Best Solution = [ 1.96081805 -0.57573516], Best Fitness = 4.17627838543348, Evaluations = 16
Generation 2: Best Solution = [ 1.96081805 -0.57573516], Best Fitness = 4.17627838543348, Evaluations = 24
Generation 3: Best Solution = [-0.6799934 -0.5262844], Best Fitness = 0.7393662843646224, Evaluations = 32
Generation 4: Best Solution = [-0.6799934 -0.5262844], Best Fitness = 0.7393662843646224, Evaluations = 40
Generation 5: Best Solution = [ 0.20496845 -0.52970288], Best Fitness = 0.32259720598956987, Evaluations = 48
Generation 6: Best Solution = [ 0.20496845 -0.52970288], Best Fitness = 0.32259720598956987, Evaluations = 56
Generation 7: Best Solution = [ 0.05995779 -0.13485565], Best Fitness = 0.021780983589641707, Evaluations = 64
Generation 8: Best Solution = [ 0.05995779 -0.13485565], Best Fitness = 0.021780983589641707, Evaluations = 72
Generation 9: Best Solution = [0.05382474 0.07733714], Best Fitness = 0.008878136806417188, Evaluations = 80
Generation 10: Best Solution = [0.05382474 0.07733714], Best Fitness = 0.008878136806417188, Evaluations = 88
Generation 11: Best Solution = [0.05382474 0.07733714], Best Fitness = 0.008878136806417188, Evaluations = 96
Generation 12: Best Solution = [0.05382474 0.07733714], Best Fitness = 0.005982242380418238, Evaluations = 104
Generation 13: Best Solution = [0.05382474 0.07733714], Best Fitness = 0.005982242380418238, Evaluations = 112
Generation 14: Best Solution = [0.05995779 0.004742  ], Best Fitness = 0.0036174225644744922, Evaluations = 120
Generation 15: Best Solution = [0.05995779 0.004742  ], Best Fitness = 0.0036174225644744922, Evaluations = 128
Generation 16: Best Solution = [0.05995779 0.004742  ], Best Fitness = 0.0006223691091938844, Evaluations = 136
Generation 17: Best Solution = [-0.01214514 -0.01780855], Best Fitness = 0.00046464879228276285, Evaluations = 144
Generation 18: Best Solution = [ 0.00294546 -0.01499106], Best Fitness = 0.00023340766849373518, Evaluations = 152
Generation 19: Best Solution = [0.01092425 0.004742  ], Best Fitness = 0.00014182582401233243, Evaluations = 160
Generation 20: Best Solution = [0.01092425 0.004742  ], Best Fitness = 0.00014182582401233243, Evaluations = 168
Generation 21: Best Solution = [0.01092425 0.004742  ], Best Fitness = 0.00014182582401233243, Evaluations = 176
Generation 22: Best Solution = [0.01092425 0.004742  ], Best Fitness = 0.00014182582401233243, Evaluations = 184
Generation 23: Best Solution = [-0.00235151  0.00124812], Best Fitness = 7.087383978827265e-06, Evaluations = 192
Generation 24: Best Solution = [-0.00235151  0.00124812], Best Fitness = 7.087383978827265e-06, Evaluations = 200
Generation 25: Best Solution = [-0.00235151  0.00124812], Best Fitness = 7.087383978827265e-06, Evaluations = 208
Generation 26: Best Solution = [0.0005084  0.00218473], Best Fitness = 5.031532618750016e-06, Evaluations = 216
Generation 27: Best Solution = [0.0005084  0.00218473], Best Fitness = 5.031532618750016e-06, Evaluations = 224
Generation 28: Best Solution = [0.0005084  0.00218473], Best Fitness = 5.031532618750016e-06, Evaluations = 232
Generation 29: Best Solution = [0.0005084  0.00218473], Best Fitness = 5.031532618750016e-06, Evaluations = 240
Generation 30: Best Solution = [0.0005084  0.00218473], Best Fitness = 5.031532618750016e-06, Evaluations = 248
Generation 31: Best Solution = [0.0005084  0.00218473], Best Fitness = 5.031532618750016e-06, Evaluations = 256
Generation 32: Best Solution = [0.00034576 0.00124812], Best Fitness = 1.6773487548013898e-06, Evaluations = 264
Generation 33: Best Solution = [0.00034576 0.00124812], Best Fitness = 1.8528532572426163e-07, Evaluations = 272
Generation 34: Best Solution = [0.00034576 0.00124812], Best Fitness = 1.8528532572426163e-07, Evaluations = 280
Generation 35: Best Solution = [0.00034576 0.00124812], Best Fitness = 1.8528532572426163e-07, Evaluations = 288
Generation 36: Best Solution = [0.00034576 0.00124812], Best Fitness = 1.8528532572426163e-07, Evaluations = 296
Generation 37: Best Solution = [2.24571635e-04 8.39857710e-05], Best Fitness = 5.748602911711413e-08, Evaluations = 304
Generation 38: Best Solution = [2.24571635e-04 8.39857710e-05], Best Fitness = 2.134733990355871e-08, Evaluations = 312
Generation 39: Best Solution = [2.24571635e-04 8.39857710e-05], Best Fitness = 7.0839909348604494e-09, Evaluations = 320
Generation 40: Best Solution = [2.24571635e-04 8.39857710e-05], Best Fitness = 7.0839909348604494e-09, Evaluations = 328
Generation 41: Best Solution = [2.24571635e-04 8.39857710e-05], Best Fitness = 7.0839909348604494e-09, Evaluations = 336
Generation 42: Best Solution = [2.24571635e-04 8.39857710e-05], Best Fitness = 7.0839909348604494e-09, Evaluations = 344
Generation 43: Best Solution = [1.90015926e-05 2.31959883e-05], Best Fitness = 8.991143948300035e-10, Evaluations = 352
Generation 44: Best Solution = [1.90015926e-05 2.31959883e-05], Best Fitness = 8.991143948300035e-10, Evaluations = 360
Generation 45: Best Solution = [1.90015926e-05 2.31959883e-05], Best Fitness = 8.991143948300035e-10, Evaluations = 368
Generation 46: Best Solution = [1.90015926e-05 2.31959883e-05], Best Fitness = 8.991143948300035e-10, Evaluations = 376
Generation 47: Best Solution = [5.51191518e-06 2.31959883e-05], Best Fitness = 5.684350818378103e-10, Evaluations = 384
Generation 48: Best Solution = [ 1.50547138e-05 -3.00566302e-06], Best Fitness = 2.356784183722771e-10, Evaluations = 392
Generation 49: Best Solution = [ 1.50547138e-05 -3.00566302e-06], Best Fitness = 2.356784183722771e-10, Evaluations = 400
Generation 50: Best Solution = [ 1.50547138e-05 -3.00566302e-06], Best Fitness = 2.356784183722771e-10, Evaluations = 408
Generation 51: Best Solution = [1.19677198e-05 6.36181617e-06], Best Fitness = 1.8369902277358082e-10, Evaluations = 416
Generation 52: Best Solution = [1.19677198e-05 6.36181617e-06], Best Fitness = 1.8369902277358082e-10, Evaluations = 424
Generation 53: Best Solution = [5.51191518e-06 1.00707159e-05], Best Fitness = 1.3180052837058234e-10, Evaluations = 432
Generation 54: Best Solution = [5.51191518e-06 1.00707159e-05], Best Fitness = 1.3180052837058234e-10, Evaluations = 440
